app_ref,reg_date,app_type,location,planning_notes,residential_units,desc,decision,decision_date,extension_to_date,indicative_date_valid_until,info_url,full_desc,app_date,app_status,app_status_desc,comment,app_agent,app_company
D14A/0127,14/03/2014,Permission,"Site located at Belmont residential scheme in  the Townlands of Murphystown and Woodside, Stepaside, Co Dublin",Mod Units: 93 - 6 = 87,87,Permission for modifications to existing planning permission D10A/0440,REFUSE PERMISSION,08/05/2014,NA,,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D14A/0127,"Permission for modifications to existing planning permission D10A/0440 (ABP Ref. PL06D.239332).  it is proposed to change house types and marginally alter the layout in Sector 2, an area of 2.57 hectares.  the permitted layout comprises 93 no. 2-3 storey houses (20 no. detached, 60 no. semi-detached and 13 no. terraced) ranging in size from c.98.5 to c.154.5 sqm.  It is proposed to replace these with 87 no. 2-3 storey houses comprising 25 no. 3-5 bedroom detached houses ranging in size from c.101 sqm to 183 sqm; 52 no. 3-4 bedroom semi-detached houses ranging in size from c.109 sqm to c.161 sqm and 10 no. 3-bed terraced houses each of c.116 sqm.  the finished floor levels of the proposed houses are altered from those permitted.  Details of roads sections, levels and traffic calming measures and provided.  All other associated site development works, landscaping and services provision are as per permission D10A/0440.  No modifications are proposed to permitted apartment Block 13 (8 apartments) within Sector 2.  Belmont is bounded to the north and west by the rear boundaries of residences accessed off Hillcrest Road and Old Kilgobbin Road; to the east by open space associated with Ferncarrig/Fernleigh and Sandyford Hall residential estates; to the south and south-west by Aiken's Village residential development and Village Road, Aiken's Village.",14/03/2014,Decision made,Decision made,The Observation period for this application expired on17-Apr-2014,McGill Planning Ltd,SDR Property Development Ltd
D13A/0636,29/11/2013,Permission,"Site located at Belmont residential scheme in  the Townlands of Murphystown and Woodside, Stepaside, Co Dublin",DUP D13A/0611,37,Permission and Retention permission is sought for amendments to existing,GRANT PERMISSION,31/01/2014,NA,31/01/2019,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D13A/0636,"Permission and Retention permission is sought for amendments to existing permission D10A/0440 (ABP Ref. PL06D.239332) for the addition of floor area to permitted rear extensions and changes to the rear elevations of the following permitted 37 no. residential units in Phases 4 to 7 of Sector 1: Nos. 11-24 Belmont Drive, Nos. 1,2,5,6,7,12 & 14 Blackglen Heath; Nos. 1-4 and 8-11 Alderman Road and Nos. 1-8Cotter Close.  The permitted units comprise house types B1 and B2 (3-bed, 2-storey), C (3-bed, 2-storey) and L (4-bed, 3-storey).  The additional floor area will comprise 6sqm to types B1 and B2 and 19 sqm to types C and L.  Retention permission is sought for the addition of floor areas to the rear extensions (with accompanying rear elevation changes) to existing houses at No. 7 Loftus Lane (House Type B2, 3-bed, 2-storey), No. 2 Belmont Drive (House Type C, 3-bed, 2-storey) and No. 6 Belmont Drive (House Type L, 4-bed, 3-storey), located within Phases 1 and 2 of the development.  The additional floor area comprises 6 sqm to type B2 and 19 sqm to types C and L.  All of the above to create new house types B1A (108 sqm GFA), B2A (108 sqm GFA), C1 (114 sqm GFA) and L1 (162 sqm GFA).  The application site is bounded to the north and west by the rear boundaries of residences accessed off Hillcrest Road and Old Kilgobbin Road; to the east by open space associated with Ferncarrig/Femleigh and Sandyford Hall residential estates; to the south and south-west by Aiken's Village residential development and Village Road, Aiken's Village.",29/11/2013,Decision made,Decision made,The Observation period for this application expired on13-Jan-2014,McGill Planning Ltd,SDR Property Development Ltd
D12A/0484,17/06/2013,Permission,"Hazelbrook Square, Whitehall Road, Churchtown, Dublin 14",,97,Permission for a new residential development at Hazelbrook Square.,GRANT PERMISSION,08/07/2013,NA,08/07/2018,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D12A/0484,"Permission for a new residential development at Hazelbrook Square. The development proposed comprises 97 No. dwellings (69 No. houses and 28 No. apartments). The 69 No. houses proposed are comprised of 8 No. 3 storey semi detached 4 bedroom residential units (Type A), 34 No. 2 storey front entry 3 bedroom residential units (Type B), 17 No. 3 storey front entry 4 bedroom residential units (Type C), 6 No. 3 storey side entry 4 bedroom residential units (Type D), 4 No. 2 storey side entry 3 bedroom residential units (Type E). The apartments comprise of 10 No. 3 bed units (ranging in size from 115m2 - 129m2) and 18 No. 2 bed units (ranging in size from 86m2 - 107m2) in a single 5 storey (4 storey plus penthouse) building (Block 7). The proposed development of 97 dwellings together with the existing 67 No. apartments in Block 6 will bring the total number of units at Hazelbrook Square to 164 No. dwellings. Vehicular access is to be via the existing entrance off Whitehall Road which serves both the existing and the proposed dwellings at Hazelbrook Square. Permission is also sought for the development of an ESB substation (C. 22m2); the relocation of a car park ramp accessing the existing basement carpark beneath the existing apartment (Block 6) and the proposed apartments; modifications to part of the basement carpark to accommodate ancillary accommodation for new apartments in Block 7; site development and landscape works; all on an overall site of c. 2.776 Ha (6.86 acres).",11/12/2012,Appeal decided - SEE APPEAL DETAILS,Appeal decided,The Observation period for this application expired on23-Jan-2013,Brazil Associates,Simon Coyle - Receiver
D13A/0170,12/04/2013,Outline Permission,"Rockhurst, Enniskerry Road, Kilternan, Dublin 18",,26,Outline permission for development of 26 residential units comprising 4 no. 1,REFUSE OUTLINE PERMISSION,05/06/2013,NA,,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D13A/0170,"Outline permission for development of 26 residential units comprising 4 no. 1bed units with 6 no. 2 bed units, 6 no. 3 bed dwellings,, 2 no. 2 bed dwellings and 8 no. 2 bed units on .72 hectare site, with ancillary services and landscaping.",12/04/2013,Decision made,Decision made,The Observation period for this application expired on16-May-2013,Ray McDonnell - Architect,Celsus MacDonnell
D06A/1797/E,16/11/2012,Extension Of Duration Of Permission,"St. Raphaelas Convent, Upper Kilmacud Road, Stillorgan, Co. Dublin.",,99,Residential development with creche,GRANT EXTENSION OF DURATION OF PERM.,11/12/2012,20/11/2017,20/11/2017,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D06A/1797/E,"Residential development with creche comprising of 99 no. residential units, (98 no. apartments and 1 no. townhouses) with a total gross floor area of 10,533 sq.m.The apartments are located in 2 blocks comprising 28 no. 1 bedroom apartments, 59 no. 2 bedroom apartments and 11 no. 3 bedroom apartments as follows: Block A ranges in height from three to six storeys over basement with a double height living space at corner element of sixth storey (Unit 46 and 47) and contains 47 no. apartments comprising 9 no. 1 bedroom units, 32 no. 2 bedroom units and 6 no. 3 bedroom units; Block B ranges in height from four to six storeys over basement and contains 51 no. apartments comprising 19 no. 1 bedroom units, 27 no. 2 bedroom units and 5 no. 3 bedroom units;  All apartments will have balconies / terraces.  The 2 - bedroom townhouses is two storeys in height and measures approximately 120 sq.m.  The creche is two storeys in height and measures approximately 125 sq.m and provides for an outdoor play area of approx.  54 sq.m and 2 no. visitor car parking spaces.  Vehicular and pedestrian access to the site will be off St. Raphaela's (which links to Old Kilmacud Road) including revisions to existing traffic junction and new access gates at the entrance to St. Raphaela's School.  Provision of 204 no. car parking spaces consisting of 15 surface car parking spaces (including 2 visitor parking spaces at creche), 1 under croft car parking space at townhouse and 188 car parking spaces at basement level (including 8 bays for disabled parking) with associated bin storage, residents storage, internal circulation and 77 no. dedicated bicycle parking spaces.  Landscaping and associated site development, boundary and services works.  All development on a site of approx. 0.96 hectares adjoining St. Raphaela's School bounded to the south by St. Raphaela's School and to the east, north and west by open parkland.",29/08/2012,Decision made,Decision made,No Comment,McCrossan O'Rourke Manning Architects,Shannon Homes Group Ltd.
D12A/0098,11/07/2012,Permission,"Lands at Heidelberg, Knockrabo, Goatstown, D14, Bounded By Salzburg, Salamanca, And Heidelberg To The North, Undeveloped lands (Reservation For Dublin Eastern bypass to the South), Ardilea Downs To The East,Ardilea Downs To The East, And Goatstown Close t",,100,Planning permission for development which will consist of a residential developm,GRANT PERMISSION,03/08/2012,NA,03/08/2017,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D12A/0098,"Permission is sought for development which will consist of a residential development with crÃ¨che comprising 100 No. residential units of 75 No. apartments comprising 6 No. one bed apartments, 65 No. two bed apartments, and 4 No. three bed apartments and 25 No. houses (24 No. 4 bed houses, 1 No. 5 bed house). The apartments are located in 4 blocks as follows: Block A is 4 storeys (including penthouse level) and contains 6 No. residential units comprising 5 No. two bed apartments, and 1 No. three bed apartment, (with a crÃ¨che at ground floor of approx. 89 sq.m); all apartments will have balconies/terraces. Block B is 5 storey (including penthouse level) over basement and contains 27 No. residential units comprising 2 No. one bed apartments, 23 No. two bed apartments, and 2 No. three bed apartments; all apartments will have balconies/terraces. Block C is 4 storeys over basement and contains 28 No. residential units comprising 4 No. one bed apartments and 24 No. two bed apartments; all apartments will have balconies/terraces. Block D is 5 storeys (including penthouse level) over basement and contains 14 No. residential units comprising 13 No. two bed apartments and 1 No. three bed apartment; all apartments will have balconies/terraces. House Types A, A1, B, B1 (24 No. in total) are 4 bedroom split 2 to 3 storeys residential units. House type A2 (1 No. in total) is a 5 bedroom, split 2 to 3 storeys. Permission is sought for vehicular and pedestrian access to the site from Heidelberg, Ardilea: provision of 175 No. car parking spaces consisting of 59 No. surface car parking spaces and 116 No. basement car parking spaces and 85 No. bicycle spaces (75 No. basement spaces and 10 No. surface spaces), ancillary bin storage/plant at basement level); Provision of 2.0m (in height) concrete post and timber panel infill wall along boundary with Salzberg, Salamanca, and Heidelberg; all landscaping (including the provision of a 3m bund/embankment along the southern boundary of site and a play area) and all boundary treatment, an ESB Substation as well as all associated site development and services works. All development on a site of 2.08 hectares.",16/03/2012,Appeal decided - SEE APPEAL DETAILS,Appeal decided,The Observation period for this application expired on19-Apr-2012,RPS Planning and Envirnoment,O'Malley Construction Company
D04A/0618/E1,06/07/2012,Further Extension of Duration of Perm,"Microsoft Site and Apex Site, Beacon South Quarter, Sandyford Business Park, Dublin 18.",Parent Perm -http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D04A/0618,792,Mixed use development,GRANT FURTHER EXT. OF DURATION OF PERM.,27/08/2012,03/08/2017,03/08/2017,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D04A/0618/E1,Mixed use development,06/07/2012,Decision made,Decision made,No Comment,Tom Phillips & Associates,Simon Coyle (Receiver)
D06A/1797/C6,22/05/2012,Compliance with Conditions,"St. Raphaela's Convent, Upper Kilmacud Road, Stillorgan, Co. Dublin.",Parent Compliance D06A/1797,99,Compliance with condition no 10 Residential development with creche,APPROVE COMPLIANCE SUBMITTED,04/09/2012,NA,NA,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D06A/1797/C6,"Residential development with creche comprising of 99 no. residential units, (98 no. apartments and 1 no. townhouses) with a total gross floor area of 10,533 sq.m.The apartments are located in 2 blocks comprising 28 no. 1 bedroom apartments, 59 no. 2 bedroom apartments and 11 no. 3 bedroom apartments as follows: Block A ranges in height from three to six storeys over basement with a double height living space at corner element of sixth storey (Unit 46 and 47) and contains 47 no. apartments comprising 9 no. 1 bedroom units, 32 no. 2 bedroom units and 6 no. 3 bedroom units; Block B ranges in height from four to six storeys over basement and contains 51 no. apartments comprising 19 no. 1 bedroom units, 27 no. 2 bedroom units and 5 no. 3 bedroom units;  All apartments will have balconies / terraces.  The 2 - bedroom townhouses is two storeys in height and measures approximately 120 sq.m.  The creche is two storeys in height and measures approximately 125 sq.m and provides for an outdoor play area of approx.  54 sq.m and 2 no. visitor car parking spaces.  Vehicular and pedestrian access to the site will be off St. Raphaela's (which links to Old Kilmacud Road) including revisions to existing traffic junction and new access gates at the entrance to St. Raphaela's School.  Provision of 204 no. car parking spaces consisting of 15 surface car parking spaces (including 2 visitor parking spaces at creche), 1 under croft car parking space at townhouse and 188 car parking spaces at basement level (including 8 bays for disabled parking) with associated bin storage, residents storage, internal circulation and 77 no. dedicated bicycle parking spaces.  Landscaping and associated site development, boundary and services works.  All development on a site of approx. 0.96 hectares adjoining St. Raphaela's School bounded to the south by St. Raphaela's School and to the east, north and west by open parkland.",22/05/2012,Decision made,Decision made,No Comment,RPS Planning and Environment,Shannon Homes Group Ltd.
D03A/0750/E1,16/05/2012,Further Extension of Duration of Perm,"The Grange (former Esso Site & Irish Cement Site), Corner Of Brewery Road And Stillorgan Road, Blackrock, Co Dublin",Parent D03A/0750 (http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D03A/0750),525,"Mixed use development comprising residential, office, nursing home",GRANT FURTHER EXT. OF DURATION OF PERM.,02/07/2012,22/09/2017,22/09/2017,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D03A/0750/E1,"Mixed use development comprising residential, office, nursing home, crÃ¨che and retail on a site of 4.58 hectares.",16/05/2012,Decision made,Decision made,No Comment,McGill Planning Limited,(Glenkerrin Homes Ltd)
D05A/0579/E,22/02/2012,Extension Of Duration Of Permission,"Kensington Lodge, Rochestown Avenue, Dun Laoghaire, Co. Dublin",Completed by EXT Date,104,For residential development including works to a protected structure,GRANT EXTENSION OF DURATION OF PERM.,12/04/2012,22/02/2017,22/02/2017,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D05A/0579/E,"Further information was submitted on 23/09/05 to consist of the following works:  refurbishment of the existing Kensington Lodge House with removal of existing conservatory and lean to shed and change of use of existing mews building from 2 no. studio units to 1 no. 2 bed unit.  The development will also consist of the construction of a new 2 storey mews building with 2 no. 2 bed units within the protected curtilage, and the construction of 100 no. 1, 2 and 3 bed apartment units in 3 no. blocks outside of the protected curtilage consisting of the following:  block A will consist of a stepped 2, 3, 4 and 5 storey building over basement car-park fronting onto Rochestown Avenue with 43 no. apartments (8 no. 1 bed, 30 no 2 bed, 5 no. 3 bed), Block B will consist of a 2 and 4 storey building with 25 no. 2 bed apartments over basement car-park, Block C will consist of a 4 storey building with 32 no. apartments over basement car-park (10 no. 1 bed, 20 no. 2 bed, 2 no. 3 bed), carparking is provided with 104 spaces in a basement carpark and 15 no. spaces provided at ground level.  The development will also consist of a new entrance and access road off Rochestown Avenue with all associated drainage works and new landscaping and boundary treatment to the development.",22/02/2012,Decision made,Decision made,No Comment,Keenan Lynch Architecture,Mark Kilkenny and Paddy Rooney
D06A/0681/E,16/12/2011,Extension Of Duration Of Permission,"Vantage,Lands at Rocklands, (Central Park), Leopardstown Road, Dublin 18","Mod Units: 431 + 30 = 461 
Parents expired - D05A/0577 and D05A/0578",461,Construction of 30 no. residential units,REFUSE EXT. OF DURATION OF PERMISSION,04/04/2012,Refused,,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D06A/0681/E,"Construction of 30 no. residential units (11 no. 2 bed and 19 no. 3 bed) additional to the 431 no. residential units approved as part of the mixed-use development granted permission under Reg. Ref. D04A/0987, D04A/0994, D05A/0577 and D05A/0578 in one or two additional floors to seven floors of Block F, K and L; alterations to the approved plans for the basement (level -2), the ground floor and the upper levels where required to facilitate additional floors; extension of the -3 level basement car park to provide an additional 30 no. parking spaces; change of use of part of plant room at mezzanine level in Block L to provide a leisure facility, and formation of two additional areas of open space at podium level.",16/12/2011,Decision made,Decision made,19/01/2012,IMG Planning Limited,Clyde Road Partnership
D04A/0994/E1,16/12/2011,Further Extension of Duration of Perm,"Vantage,Lands at Rocklands, (Central Park), Leopardstown Road, Dublin 18.",Second extension. Parent D04A/0994,289,Mixed use development,GRANT FURTHER EXT. OF DURATION OF PERM.,16/02/2012,28/02/2017,28/02/2017,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D04A/0994/E1,"Mixed use development involving 2 no. blocks (to be known as Block K and L) totalling 27,358 sq.m (replacement blocks for Blocks J, K and L granted planning permission under Reg. Ref. D02A/1167) consisting of  9 / 16 storeys incorporating office accommodation / retail / bar / restaurant / cafe on ground floor: 289 no. apartments (59 no. 1 bed, 206 no. 2 bed and 24 no. 3 bed); the provision of carparking and a service yard at surface level and carparking in 2 no. basement levels below: and all other site development works above and below ground including 4 no. ESB substations to facilitate the development.",16/12/2011,Decision made,Decision made,19/01/2012,IMG Planning Limited,Clyde Road Partnership
D11A/0312,24/11/2011,Permission,"Carrickmines Green, Glenamuck Road, Carrickmines, Dublin 18, in the townland of Carrickmines Great","Mod Units: 287 - 54 = 233Modification of Previous Permissions: D04A/0327, D04A/0327/E, D05A/1614, D08A/0414, PL06D.224283",233,Planning permission for modifications to the residential development,GRANT PERMISSION,16/12/2011,NA,16/12/2016,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D11A/0312,"Planning permission for modifications to the residential development known as Carrickmines Green permitted under Planning register Ref.D04A/0327, D04A/0327/E, D05A/1614, D08A/0414 AND PL06D.224283 on lands, measuring 2.14 hectares at Glenamuck Road, Carrickmines, Dublin 18 within the townland of Carrickmines Great. The development will comprise the omission of 99 No. residential units as follows: 14 No. Type A units (14 No. 3 storey duplex units, comprising 14 No. 3 bed units and 14 No. 2 bed units); 8 No. Type B units (8 No. 3 storey 4 bed terraced houses); 1 No. Type C - 1 No. 4 storey corner duplex unit comprising 1 No. 3 bed unit and 2 No. 2 bed units, 12 No. Type D - 12 No. 3 storey duplex units comprising 12 No. 2 bed units and 12 No. 3 bed units; Block G comprising 12 No. 1 bedroom apartments and 18 No. 2 bedroom apartments; and the crÃ¨che building comprising a four storey block with a crÃ¨che of 231.5 sq.m at ground floor level with play area; 6 No. 2 bedroom apartments at first, second and third floor level and 15 No. car parking spaces. In lieu of the above units it is proposed to develop 45 No. new residential units as follows; 4 No. 3 bedroom two storey houses; 4 No. 3 bedroom 2 storey with basement houses; 7 No. 3 bedroom 3 storey houses; 7 No. 3 bedroom 3 storey with basement houses; 5 No. 4 bedroom 3 storey houses; 2 No. 2 bedroom 2 storey houses; 6 No. 2 bedroom 2 storey with basement houses; 2 No. three storey apartments block each comprising 3 No. 3 bedroom duplex apartments, 1 No. 2 bedroom apartment and 1 No. 1 bedroom apartment, providing a total of 10 No. apartments. The scheme as approved provides for 287 No. residential units. The modified scheme will provide for a total of 233 No. units - a reduction of 54 No. residential units. Planning permission is also sought for the omission of 23 No. car parking spaces at basement level and re-arrangement of surface car parking to accommodate the newly revised site layout.",04/07/2011,Decision made,Decision made,The Observation period for this application expired on07-Aug-2011,A & L Consultants Ltd,Assets of Alan Hanly(in receivership)
D05A/1159/E,03/06/2011,Extension Of Duration Of Permission,"C.3.117 Ha site bounded by Blackthorn Drive and Carmanhall Road, Sandyford Business Estate, Dublin 18.",Parent D05A/1159,847,Mixed use development.,GRANT EXTENSION OF DURATION OF PERM.,26/07/2011,20/07/2016,20/07/2016,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D05A/1159/E,"Mixed use development comprising of the following:  The demolition of all existing structures on the site of 3.117 hectares bounded by Blackthorn Drive to the west and north, former Microsoft Industrial Campus (now known as Beacon South Quarter) and Carmanhall Road to the south, an existing warehouse unit to the east; the construction of a mixed use development comprising a total of 847 residential apartments (142 no. one bedroom apartments, 621 no. two bedroom apartments, 76 no. three bedroom apartments and 8 no. 4 bedroom apartments), neighbourhood retail shops and services/cafe restaurants with a gross floor area of 11,794 sq. metres (including a convenience store with a gross floor area of 1,768 sq.metres and a retail showroom / warehouse with a gross floor area of 2,039 sq.metre), office accommodation with a gross floor area of 10,761 sq. metres, a creche with a gross floor area of 374 sq. metres, a community building with a gross floor area of 185 sq.metres and 39 no. live work units, 1,716 car parking spaces located at basement and lower ground floor level.  The total gross floor area of the development is 105,381 sq. metres.  The development comprises of 6 no. blocks (A,B,C,D,E and F) and comprises of the following:  1) Block A comprises a 6 storey apartment building stepping up to 12 storeys to a maximum height of 42.18 metres.  The bock accommodates 208 residential apartments/live work units (31 no. 1 bed units, 135 no. 2 bed units, 18 no. 3 bed units, 2 no. 1 bed penthouses, 3 no.  2 bed penthouses, 15 no. 1 bed live work units, 4 no. 2 bed live work units).  The block accommodates a roof terrace and there are balconies on all elevations of Block A.  The lower ground floor level and upper ground floor level of Block A accommodates 2,687 sq. metres of neighbourhood retail/services floorspace including a retail showroom/warehouse 2) Block B comprises a 2 - storey restaurant and community building to a maximum height of 8 metres.  At upperground floor level the block accommodates 244 sq.metres of restaurant accommodation.  A community facility of 185 sq.metres is located at first floor level.  3) Block C comprises a 6 storey office building stepping up to 14 storeys to a maximum height of 55 meters, 10,761 sq. metres of office accommodation is provided 4) Block D comprises a 6 storey apartment building stepping up to 8 storeys to a maximum height of 28 metres.  The block accommodates 211 residential apartments / live work units (35 no. 1 bed units, 139 no. 2 bed units, 11 no. 3 bed units, 1 no. 2 bed penthouse unit, 2 no. 3 bed penthouse units, 3 no. 4 bed penthouses, 19 no. 1 bed live work units and 1 no. 2 bed live work units). The block accommodates a roof terrace and there are balconies on all elevations of Block D.  The lower ground floor level and upper ground floor level of Block D accommodates 3,316 sq. metres of neighbourhood retail/services floorspace including a convenience store.  A creche of 374 sq.metres is also accommodated at upper ground floor level 5)  Block E comprises a 7 storey apartment building stepping up to 15 storeys to a maximum height of 49.15 metres.  The block accommodates 229 residential apartments (34 no. 1 bed units, 179 no. 2 bed units, 13 no. 3 bed units, 3 no. 4 bed penthouses).  The block accommodates a roof terrace and there are balconies on all elevations of Block E.  The upper ground floor level accommodates 1,751 sq.metres of neighbourhood retail/services floorspaces 6) Block F comprises a 7 storey apartment building stepping up to 9 storeys to a maximum height of 31 metres.  The block accommodates 238 residential apartments (40 no. 1 bed units, 164 no. 2 bed units, 32 no. 3 bed units and 2 no. 4 bed duplex units).  The block accommodates a roof terrace and there are balconies on all elevations of Block F.  The upper ground floor level accommodates 3,796 sq.metres of neighbourhood retail/service floorspace 7)  Basement; The basement level of the development accommodates 1,104 car parking spaces 8) Lower Ground Floor: The lower ground floor of the development accommodates 612 car parking spaces.  There are two service yards located at this level.  Vehicular access to the proposed development will be from Blackthorn Drive to the north of the site and from Carmanhall Road to the south of the site.  The access proposed from Blackthorn Drive will be a two-way at grade priority junction to the car parking from retail/restaurant and service areas on the Lower Ground Floor.  The two access proposed onto Carmanhall Road will also be two-way at grade priority junctions.  The eastern most access will be for the retail/restaurant car parking on the Lower Ground Floor and to the service area at the same level. The western most access will be for the ramp heading down to the residential and office car parking at Basement Level.  The development will result in modifications to the external road environment subject to the necessary agreement of Dun Laoghaire Rathdown County Council.  Pedestrian access will be from Blackthorn Drive (North), Blackthorn Drive (West) and from Carmanhall Road. 886 bicycle spaces are provided at basement level and 254 bicylce spaces are provided of lower ground floor level.  The development also include all site development works, landscaping, boundary treatment and all other ancillary works.  An Environment Impact Statement will be submitted with this application.  The development is on the former Allegro Site, Carmanhall Road/Blackthorn Avenue/Blackthorn Drive, Sandyford Industrial Estate.",03/06/2011,Decision made,Decision made,No Comment,McGill Planning Ltd,Sipter Ltd
D05A/1614/E,04/05/2011,Further Extension of Duration of Perm,"Site on Glenamuck Road, Carrickmines Great, Dublin 18.",2nd Extension. Parent D05A/1614,227,"227 no. residential units, creche and retail unit on lands, measuring 3.9 hectar",GRANT FURTHER EXT. OF DURATION OF PERM.,27/06/2011,17/05/2016,17/05/2016,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D05A/1614/E,"227 no. residential units, creche and retail unit on lands, measuring 3.9 hectares. The development will comprise: Type A 31 no. 3 storey duplex units, comprising 31 no. 3 bed units and 31 no. 2 bed units: Type A1 6 no. 3 storey duplex units comprising 6 no. 3 bed plus study units and 6 no. 2 bed units: Type B 20 no. 3 storey 4 bed terraced houses: Type C 5 no. 4 storey corner duplex units comprising 5 no. 3 bed units and 10 no. 2 bed units: Type C1 1 no. 4 storey corner duplex unit comprising 1 no. retail unit (128.5 sq.m.) at ground and first floor level and 2 no. 2 bed units: Type D 12 no. 3 storey duplex units comprising 12 no. 2 bed units and 12 no. 3 bed units: Type E 2 no. five storey over basement apartment buildings comprising 44 no. 2 bed apartments and 48 no. 1 bed apartments with 153 no. car parking spaces at basement level: a single storey creche of 477.3 sq. m. with enclosed play area: the creation of a vehicular access onto Glenamuck Road; 155 no. surface car parking spaces and all associated infrastructure and site development works including internal roads, bin storage and bicycle parking areas, landscaping including the provision of open space and boundary treatments.",04/05/2011,Decision made,Decision made,07/06/2011,Tiros Resources Limited,John McStay
D10A/0591,28/10/2010,Permission,"Chesterfield House, Cross Avenue, Blackrock, Co. Dublin.","Bord Pleanala Appeal Conditions - PL06D.218536

Not Dense enough need >50 dwellings per hectare",97,97 no. residential units,REFUSE PERMISSION,21/12/2010,NA,,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D10A/0591,"Permission is sought for development at the rear. The development will consist of  a 97 no. residential units in lieu of residential development permitted under D06A/0069 / PL06D.218536, comprising 43 no. two and three storey houses with attic accommodation and optional basement; 31 no. 5 bedroom houses and 12 no. 4 bedroom houses; and 54 no. apartments:  - 5 no. 1 bedroom apartments, 39 no. 2 bedroom apartments and 10 no. 3 bedroom apartments in Apartment Building G, 5 storey in height and part 6 - storeys, over basement incorporating services, storage, carparking (79 spaces) and bicycle parking (54 spaces) and surface car parking (5 spaces) serving the apartments; adjustment to permitted road infrastructure (Ref:  D06A/0069 / PL06D.218536), realignment of pond as constructed attenuation wetland feature with revised pedestrian bridge, ancillary site works, landscaping and services at the rear of Chesterfield House, Cross Avenue, Blackrock, Co. Dublin.  Part of the lands are located within the curtilage of Chesterfield House, a protected structure.",28/10/2010,Appeal decided - SEE APPEAL DETAILS,Appeal decided,The Observation period for this application expired on01-Jan-1975,Simon Clear & Associates,Avenue Homes Ltd.
D04A/0674/E,15/09/2010,Extension Of Duration Of Permission,"The Hill, (Known As Blake's Site) Old Stillorgan Road, Stillorgan, Co. Dublin.","Parent D04A/0674. 

Contrary to Sustainable Urban Housing: Design Standards for New Apartments, Guidelines for Planning Authorities’, 2007",215,"A mixed use development of 23,167 sq.m.",REFUSE EXT. OF DURATION OF PERMISSION,09/11/2010,refused,,http://planning.dlrcoco.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=D04A/0674/E,"A mixed use development of 23,167 sq.m. approximately (over a double basement of 13,338 sq.m. on a 0.76 ha site approximately.  The development will consist of the demolition of all existing structures on site the construction of a pedestrian bridge over the N11 (Stillorgan By-pass) and the provision of a building that varies in height from six to twelve storeys over a two-storey split level basement.  The development will consist of residential accommodation (18,151 sq.m.) including 215 no. units comprising 44 no. one bedroom units 164 no. two bedroom units 3 no. three bedroom units and 4 no. four bedroom units (including balconies winter gardens and terraces); 2 no. restaurants (396 sq.m. and 316 sq.m. respectively); 2 no. retail units (256 sq.m. and 194 sq.m. respectively); a public house (903 sq.m.; creche (352 sq.m.) and gymnasium (2,142 sq.m.).  The development will also consist of vehicular access from the Old Stillorgan Road; 381 no. basement car parking spaces, 5958 sq.m. aproximately of open space (including 1,213 sq.m. approximately of public open space); cycle parking; pedestrian access points; hard and soft landscaping; boundary treatments; changes in level; plant (including 2 no. electricity substations); statutory; and all other site development works above and below ground.",15/09/2010,Decision made,Decision made,01/01/1975,Treasury Holdings,Eltissey Limited
